,Type,Name,Betweenness
18,Protein,Calcium channel voltage-dependent subunit beta 2,8.412698412698413
17,Protein,Voltage-dependent L-type calcium channel subunit beta-2,8.412698412698413
188,Protein,,1.6
10,Protein,Voltage-dependent L-type calcium channel subunit alpha,1.511111111111111
11,Protein,Voltage-dependent L-type calcium channel subunit alpha,1.511111111111111
170,Protein,,0.0
241,Protein,,0.0
252,Protein,,0.0
251,Protein,,0.0
250,Protein,,0.0
249,Protein,,0.0
248,Protein,,0.0
247,Protein,,0.0
246,Protein,,0.0
245,Protein,,0.0
125,Protein,,0.0
243,Protein,,0.0
242,Protein,,0.0
239,Protein,,0.0
240,Protein,,0.0
254,Protein,,0.0
129,Protein,,0.0
237,Protein,,0.0
236,Protein,,0.0
132,Protein,,0.0
234,Protein,,0.0
133,Protein,,0.0
232,Protein,,0.0
231,Protein,,0.0
230,Protein,,0.0
229,Protein,,0.0
124,Protein,,0.0
122,Protein,,0.0
255,Protein,,0.0
114,Protein,,0.0
4,Protein,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",0.0
281,Protein,,0.0
7,Protein,Voltage-dependent calcium channel gamma-8 subunit,0.0
279,Protein,,0.0
277,Protein,,0.0
275,Protein,,0.0
12,Protein,Voltage-dependent calcium channel gamma-7 subunit,0.0
19,Protein,Voltage-dependent calcium channel gamma-4 subunit,0.0
272,Protein,,0.0
271,Protein,,0.0
20,Protein,Voltage-dependent calcium channel gamma-6 subunit,0.0
116,Protein,,0.0
169,Protein,,0.0
267,Protein,,0.0
266,Protein,,0.0
265,Protein,,0.0
264,Protein,,0.0
118,Protein,,0.0
262,Protein,,0.0
119,Protein,,0.0
260,Protein,,0.0
259,Protein,,0.0
121,Protein,,0.0
257,Protein,,0.0
228,Protein,,0.0
227,Protein,,0.0
226,Protein,,0.0
134,Protein,,0.0
154,Protein,,0.0
155,Protein,,0.0
157,Protein,,0.0
193,Protein,,0.0
158,Protein,,0.0
159,Protein,,0.0
160,Protein,,0.0
189,Protein,,0.0
161,Protein,,0.0
187,Protein,,0.0
163,Protein,,0.0
164,Protein,,0.0
184,Protein,,0.0
183,Protein,,0.0
165,Protein,,0.0
181,Protein,,0.0
166,Protein,,0.0
167,Protein,,0.0
178,Protein,,0.0
177,Protein,,0.0
176,Protein,,0.0
175,Protein,,0.0
174,Protein,,0.0
168,Protein,,0.0
172,Protein,,0.0
197,Protein,,0.0
198,Protein,,0.0
152,Protein,,0.0
213,Protein,,0.0
137,Protein,,0.0
223,Protein,,0.0
222,Protein,,0.0
221,Protein,,0.0
220,Protein,,0.0
219,Protein,,0.0
138,Protein,,0.0
217,Protein,,0.0
216,Protein,,0.0
139,Protein,,0.0
214,Protein,,0.0
140,Protein,,0.0
200,Protein,,0.0
143,Protein,,0.0
210,Protein,,0.0
209,Protein,,0.0
208,Protein,,0.0
207,Protein,,0.0
144,Protein,,0.0
205,Protein,,0.0
204,Protein,,0.0
146,Protein,,0.0
147,Protein,,0.0
148,Protein,,0.0
283,Protein,,0.0
